project_name,project_owner,project_creation_date,project_id,project_last_modif_date,project_xmi,project_type,project_downloaded,diagram_project_id,diagram_id,diagram_name,diagram_kind,diagram_jpeg_link,diagram_number_of_elements
case diagram,,1656569288069,_Ax3bUPg7EeydvaHhUPK6Jg,1656577518141,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/xmi,UML,Yes,_Ax3bUPg7EeydvaHhUPK6Jg,_iqV1sdp7EDq4xbfJB5ih9Q,sequence-diagram-2,SequenceDiagram,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/diagrams/_iqV1sdp7EDq4xbfJB5ih9Q/jpeg,4
case diagram,,1656569288069,_Ax3bUPg7EeydvaHhUPK6Jg,1656577518141,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/xmi,UML,Yes,_Ax3bUPg7EeydvaHhUPK6Jg,_uS2J4dp7EDq4xbfJB5ih9Q,sequence-diagram-3,SequenceDiagram,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/diagrams/_uS2J4dp7EDq4xbfJB5ih9Q/jpeg,4
case diagram,,1656569288069,_Ax3bUPg7EeydvaHhUPK6Jg,1656577518141,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/xmi,UML,Yes,_Ax3bUPg7EeydvaHhUPK6Jg,_0wp60dp7EDq4xbfJB5ih9Q,behavior-state-machine-diagram,BehaviorStateMachineDiagram,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/diagrams/_0wp60dp7EDq4xbfJB5ih9Q/jpeg,2
case diagram,,1656569288069,_Ax3bUPg7EeydvaHhUPK6Jg,1656577518141,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/xmi,UML,Yes,_Ax3bUPg7EeydvaHhUPK6Jg,_407Bgdp7EDq4xbfJB5ih9Q,activity-diagram,ActivityDiagram,https://app.genmymodel.com/api/projects/_Ax3bUPg7EeydvaHhUPK6Jg/diagrams/_407Bgdp7EDq4xbfJB5ih9Q/jpeg,0
MAL,,1655729867528,_lXwogPCYEeyQqO6RHdQLaQ,1656575265426,https://app.genmymodel.com/api/projects/_lXwogPCYEeyQqO6RHdQLaQ/xmi,UML,Yes,_lXwogPCYEeyQqO6RHdQLaQ,_lXwog_CYEeyQqO6RHdQLaQ,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_lXwogPCYEeyQqO6RHdQLaQ/diagrams/_lXwog_CYEeyQqO6RHdQLaQ/jpeg,13
Sequence diagram,,1656572855993,_UcPakPhDEeydvaHhUPK6Jg,1656573025303,https://app.genmymodel.com/api/projects/_UcPakPhDEeydvaHhUPK6Jg/xmi,UML,Yes,_UcPakPhDEeydvaHhUPK6Jg,_UcSd4PhDEeydvaHhUPK6Jg,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_UcPakPhDEeydvaHhUPK6Jg/diagrams/_UcSd4PhDEeydvaHhUPK6Jg/jpeg,74
Sequence diagram,,1656572855993,_UcPakPhDEeydvaHhUPK6Jg,1656573025303,https://app.genmymodel.com/api/projects/_UcPakPhDEeydvaHhUPK6Jg/xmi,UML,Yes,_UcPakPhDEeydvaHhUPK6Jg,_UcSeePhDEeydvaHhUPK6Jg,behavior-state-machine-diagram,BehaviorStateMachineDiagram,https://app.genmymodel.com/api/projects/_UcPakPhDEeydvaHhUPK6Jg/diagrams/_UcSeePhDEeydvaHhUPK6Jg/jpeg,0
Sequence diagram,,1656572855993,_UcPakPhDEeydvaHhUPK6Jg,1656573025303,https://app.genmymodel.com/api/projects/_UcPakPhDEeydvaHhUPK6Jg/xmi,UML,Yes,_UcPakPhDEeydvaHhUPK6Jg,_UcSee_hDEeydvaHhUPK6Jg,sequence-diagram,SequenceDiagram,https://app.genmymodel.com/api/projects/_UcPakPhDEeydvaHhUPK6Jg/diagrams/_UcSee_hDEeydvaHhUPK6Jg/jpeg,2
Recruitment-and-selection,,1656567133052,__qBbwPg1EeydvaHhUPK6Jg,1656567976862,https://app.genmymodel.com/api/projects/__qBbwPg1EeydvaHhUPK6Jg/xmi,BPMN2,No,,,,,,
hc,,1656468717626,_2nYZoPdQEeydvaHhUPK6Jg,1656565391297,https://app.genmymodel.com/api/projects/_2nYZoPdQEeydvaHhUPK6Jg/xmi,UML,Yes,_2nYZoPdQEeydvaHhUPK6Jg,_2nYZo_dQEeydvaHhUPK6Jg,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_2nYZoPdQEeydvaHhUPK6Jg/diagrams/_2nYZo_dQEeydvaHhUPK6Jg/jpeg,51
hc,,1656468717626,_2nYZoPdQEeydvaHhUPK6Jg,1656565391297,https://app.genmymodel.com/api/projects/_2nYZoPdQEeydvaHhUPK6Jg/xmi,UML,Yes,_2nYZoPdQEeydvaHhUPK6Jg,_tzye4NpFEDqOF-Dqu5C-Fw,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_2nYZoPdQEeydvaHhUPK6Jg/diagrams/_tzye4NpFEDqOF-Dqu5C-Fw/jpeg,10
viva2,,1656564508925,_4oZa0PgvEeydvaHhUPK6Jg,1656565333881,https://app.genmymodel.com/api/projects/_4oZa0PgvEeydvaHhUPK6Jg/xmi,UML,Yes,_4oZa0PgvEeydvaHhUPK6Jg,_4oaB4PgvEeydvaHhUPK6Jg,usecase-diagram,UsecaseDiagram,https://app.genmymodel.com/api/projects/_4oZa0PgvEeydvaHhUPK6Jg/diagrams/_4oaB4PgvEeydvaHhUPK6Jg/jpeg,57
FG - Modelo Datos Aplicaciones,,1637101151280,_OVbTAEcrEeyo8oS76GR6Gg,1656561913449,https://app.genmymodel.com/api/projects/_OVbTAEcrEeyo8oS76GR6Gg/xmi,RDS,No,,,,,,
inventario,,1656552620243,_NFFyMPgUEeydvaHhUPK6Jg,1656553522591,https://app.genmymodel.com/api/projects/_NFFyMPgUEeydvaHhUPK6Jg/xmi,BPMN2,No,,,,,,
Tripster,,1656546151380,_JJNJQPgFEeydvaHhUPK6Jg,1656549652807,https://app.genmymodel.com/api/projects/_JJNJQPgFEeydvaHhUPK6Jg/xmi,FLOWCHART,Yes,_JJNJQPgFEeydvaHhUPK6Jg,_JJNJQvgFEeydvaHhUPK6Jg,flowchart-diagram,FlowchartDiagram,https://app.genmymodel.com/api/projects/_JJNJQPgFEeydvaHhUPK6Jg/diagrams/_JJNJQvgFEeydvaHhUPK6Jg/jpeg,147
